SMILES,index,xyz,InChI,Exp.,DFT,SchNet
CC(C)(C)C,gdb_54,54.xyz,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",-40.2,-43.75989217,-43.62632751
CC(C)(C)O,gdb_55,55.xyz,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",-74.7,-75.95151021,-75.59706116
CC(=O)C#C,gdb_56,56.xyz,"InChI=1S/C4H4O/c1-3-4(2)5/h1H,2H3",15.6,16.02906053,15.97657871
CC(C)C#N,gdb_64,64.xyz,"InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3",5.6,3.159607551,2.947012901
CC(C)C=O,gdb_68,68.xyz,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",-51.6,-55.03515076,-55.44576645
CN(C)C=O,gdb_70,70.xyz,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",-45.8,-56.69323278,-57.02687073
CCC(=O)C,gdb_72,72.xyz,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-57.1,-62.87225349,-63.19529724
COC(=O)C,gdb_77,77.xyz,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,-98.4,-104.7476479,-105.263176
CC(C)CO,gdb_81,81.xyz,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",-67.791587,-70.1525046,-70.26524353
CCC(C)C,gdb_83,83.xyz,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",-36.9,-41.93573895,-42.13008118
CC[C@@H](C)O,gdb_84,84.xyz,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m1/s1",-70,-73.0463773,-73.38951111
COC(C)C,gdb_85,85.xyz,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",-60.23263225,-66.69562164,-66.95375061
N#CCC#N,gdb_109,109.xyz,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,63.65,59.233654,58.1251297
CCCC#N,gdb_122,122.xyz,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",8.06724028,3.542454523,3.656302929
CCCC=O,gdb_128,128.xyz,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",-48.98024219,-54.21315579,-54.25352478
CCCCC,gdb_133,133.xyz,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",-35.1,-41.92447874,-41.99144745
CCCCO,gdb_134,134.xyz,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-65.67319949,-68.85758101,-69.04174042
CCCOC,gdb_135,135.xyz,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",-56.88575526,-64.52240206,-64.60659027
CCOCC,gdb_136,136.xyz,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",-60.3,-67.9455044,-68.13491821
C1CC=CC1,gdb_156,156.xyz,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",8.032982792,6.495460133,6.443140507
C1CCCC1,gdb_159,159.xyz,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,-18.3,-21.32340503,-21.61629677
C1CCOC1,gdb_160,160.xyz,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,-44,-47.65971643,-47.75635529
C1[C@H]2CC[C@@H]12,gdb_162,162.xyz,"InChI=1S/C5H8/c1-2-5-3-4(1)5/h4-5H,1-3H2/t4-,5+",37.3,35.41166677,35.28071213
FC(F)(F)F,gdb_184,184.xyz,"InChI=1S/CF4/c2-1(3,4)5",-223.04,-240.6221577,-239.9428253
Cn1cccc1,gdb_212,212.xyz,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",24.6,18.59743589,18.3733387
c1ccccc1,gdb_214,214.xyz,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,19.74,16.56832927,16.28782272
c1ccncc1,gdb_215,215.xyz,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,33.6,26.36187581,26.25965881
c1cnccn1,gdb_216,216.xyz,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H,46.9,38.4862848,38.44846344
c1cncnc1,gdb_217,217.xyz,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,46.8,34.57899364,34.80110931
c1ncncn1,gdb_218,218.xyz,InChI=1S/C3H3N3/c1-4-2-6-3-5-1/h1-3H,54,41.35480522,41.50487518
CCC(C)(C)C,gdb_228,228.xyz,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",-44.42001275,-47.17780575,-47.42605972
CCC(C)(C)O,gdb_229,229.xyz,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",-78.85595921,-80.40536266,-80.66767883
COC(C)(C)C,gdb_230,230.xyz,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",-67.8,-72.87228547,-72.97171021
CCCC(=O)C,gdb_261,261.xyz,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-61.8,-68.20440194,-68.50720978
CCOC(=O)C,gdb_265,265.xyz,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",-105.9,-113.4015568,-113.7471619
CNCC(=O)O,gdb_267,267.xyz,"InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)",-87.77,-96.17435646,-91.9699707
CC(C)CCO,gdb_272,272.xyz,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",-72.2,-74.12216823,-74.39224243
C[C@@H](O)CCO,gdb_273,273.xyz,"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3/t4-/m1/s1",-103.6488209,-105.5706127,-106.0071106
CCCC(C)C,gdb_274,274.xyz,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",-41.72323136,-47.23410678,-47.34130096
CC(=O)C(=O)C,gdb_279,279.xyz,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,-78.1,-84.43415077,-84.64243317
CC(C)C(=O)C,gdb_284,284.xyz,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",-62.73900574,-67.70895292,-68.18997955
CC(C)C(C)C,gdb_291,291.xyz,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",-42.55736138,-46.19816791,-46.62670517
CCC(=O)CC,gdb_358,358.xyz,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",-61.6,-68.69985096,-68.89913177
CCC(C)CC,gdb_391,391.xyz,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",-41.1,-46.25446894,-46.41484833
CC[C@@H](C)CO,gdb_392,392.xyz,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3/t5-/m1/s1",-72.2,-74.52753561,-74.70182037
CCC(O)CC,gdb_394,394.xyz,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",-75.7,-78.69381149,-78.74040985
O=C1CCCC1,gdb_448,448.xyz,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,-45.9,-49.77654781,-50.03322601
O=C1OCCO1,gdb_455,455.xyz,InChI=1S/C3H4O3/c4-3-5-1-2-6-3/h1-2H2,-121.2,-128.8430913,-128.8332825
CC1=CCCC1,gdb_456,456.xyz,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h4H,2-3,5H2,1H3",-0.86,-3.768658139,-3.851031303
C[C@H]1CC=CC1,gdb_459,459.xyz,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2-3,6H,4-5H2,1H3",3.503027406,0.026030972,-0.178381443
C[C@H]1CCC=C1,gdb_462,462.xyz,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2,4,6H,3,5H2,1H3/t6-/m1/s1",1.869024857,-0.052790463,-0.269270539
CC1CCCC1,gdb_466,466.xyz,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",-25.42144678,-28.2432424,-28.56860924
C(#CC#N)C#N,gdb_486,486.xyz,InChI=1S/C4N2/c5-3-1-2-4-6,126.5,120.2476909,119.29039
N#CCCC#N,gdb_489,489.xyz,InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2,50.1,47.61831112,47.55253983
CCCCC#N,gdb_526,526.xyz,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",2.586042065,-1.86851536,-1.838688135
CCCCC=O,gdb_534,534.xyz,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",-54.4,-59.70294711,-59.88655853
CCCCCC,gdb_543,543.xyz,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",-39.9,-47.32418842,-47.47539902
CCCOCC,gdb_546,546.xyz,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3",-65.1,-73.24387223,-73.42220306
OCCCCO,gdb_550,550.xyz,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",-102,-101.3142552,-101.3511047
C1CCC=CC1,gdb_656,656.xyz,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",-1.223709369,-3.002964194,-3.188102245
C1CCCCC1,gdb_658,658.xyz,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,-29.5,-32.34195704,-32.85884094
C1CCOCC1,gdb_659,659.xyz,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,-53.4,-57.34956425,-57.81844711
C1COCCO1,gdb_660,660.xyz,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-75.5,-80.85956417,-81.20084381
FC(F)(F)C#N,gdb_827,827.xyz,"InChI=1S/C2F3N/c3-2(4,5)1-6",-118.4,-133.7171468,-133.2150879
Cc1ccccc1,gdb_930,930.xyz,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",12,8.049542785,8.086145401
Cc1ccncc1,gdb_931,931.xyz,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",24.69964946,17.02109435,17.21002769
Cc1cnccc1,gdb_932,932.xyz,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",25.41029318,17.47150256,17.49674988
Cc1ncccc1,gdb_935,935.xyz,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",23.6,15.99641569,16.03350449
Nc1ccccc1,gdb_940,940.xyz,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",20.8,15.48970646,15.24085617
Oc1ccccc1,gdb_949,949.xyz,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",-23,-24.98659064,-25.26037216
CCCC(C)(C)C,gdb_1094,1094.xyz,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",-49.2152645,-52.45365318,-52.53589249
CC(=O)C(C)(C)C,gdb_1099,1099.xyz,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",-69.29493308,-72.6807748,-72.92931366
CC(C)C(C)(C)C,gdb_1104,1104.xyz,"InChI=1S/C7H16/c1-6(2)7(3,4)5/h6H,1-5H3",-48.9,-50.40429585,-50.70935822
CC(=O)CC(=O)C,gdb_1112,1112.xyz,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",-90.8,-93.16688115,-93.90856934
CC(C)OC(=O)C,gdb_1124,1124.xyz,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",-115.1,-122.066726,-122.1551666
CC(C)CC(C)C,gdb_1130,1130.xyz,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",-48.22339069,-52.5099542,-52.67409515
CC(C)OC(C)C,gdb_1132,1132.xyz,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",-76.3,-82.88867923,-83.2947998
CCC(C)(C)CC,gdb_1189,1189.xyz,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3",-48.2,-50.30295401,-50.46448517
CCCCC(=O)C,gdb_1275,1275.xyz,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",-66.80449331,-73.60411162,-73.85674286
CCCCC(C)C,gdb_1294,1294.xyz,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",-46.6085086,-52.66759707,-52.85570908
CC1(C)CCCC1,gdb_1350,1350.xyz,"InChI=1S/C7H14/c1-7(2)5-3-4-6-7/h3-6H2,1-2H3",-33.03696622,-33.85689597,-34.00473022
CCCC(=O)CC,gdb_1513,1513.xyz,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3",-66.4,-74.009479,-74.15816498
CCOC(=O)CC,gdb_1524,1524.xyz,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",-110.7871256,-119.2967156,-119.5975113
CCC[C@@H](C)CC,gdb_1570,1570.xyz,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3/t7-/m0/s1",-45.8014659,-51.57535718,-51.66534424
CCC(=O)C(C)C,gdb_1658,1658.xyz,"InChI=1S/C6H12O/c1-4-6(7)5(2)3/h5H,4H2,1-3H3",-68.37157425,-73.69419326,-73.93773651
C[C@H]1CC[C@@H](C)C1,gdb_1889,1889.xyz,"InChI=1S/C7H14/c1-6-3-4-7(2)5-6/h6-7H,3-5H2,1-2H3/t6-,7+",-32.46892925,-34.92661545,-35.13350296
O=C1CCCCC1,gdb_2071,2071.xyz,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,-54.35946463,-57.42829851,-57.78227234
CC1CCCCC1,gdb_2102,2102.xyz,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-36.97976418,-39.16045256,-39.39912415
C[C@H]1CCC[C@H]1C,gdb_2173,2173.xyz,"InChI=1S/C7H14/c1-6-4-3-5-7(6)2/h6-7H,3-5H2,1-2H3/t6-,7+",-31,-32.53945198,-32.72464371
CCC(CC)CC,gdb_2548,2548.xyz,"InChI=1S/C7H16/c1-4-7(5-2)6-3/h7H,4-6H2,1-3H3",-45.31230083,-50.19035195,-50.40594482
CCCCCCC,gdb_2720,2720.xyz,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",-44.9,-52.70137769,-52.80093384
CCCCCCO,gdb_2721,2721.xyz,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-75.7903123,-79.66826057,-79.91983032
CCCOCCC,gdb_2724,2724.xyz,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",-70.0111536,-78.54224007,-78.74121857
OCCCCCO,gdb_2730,2730.xyz,"InChI=1S/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2",-107.4649458,-106.556322,-107.0174026
CCC1CCCC1,gdb_2942,2942.xyz,"InChI=1S/C7H14/c1-2-7-5-3-4-6-7/h7H,2-6H2,1H3",-30.34337157,-33.11372243,-33.23249817
C1CCCCCC1,gdb_3269,3269.xyz,InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2,-28.32456979,-30.96302326,-31.25343704
Fc1ccccc1,gdb_4208,4208.xyz,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,-27.7,-35.05173223,-35.19833755
Cc1cccc(C)c1,gdb_4336,4336.xyz,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",4.130019121,-0.367901854,-0.523335457
Cc1cccc(C)n1,gdb_4340,4340.xyz,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",14,5.675996394,5.459121227
Cc1cccc(O)c1,gdb_4342,4342.xyz,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",-31.62364563,-33.47159651,-33.95744705
Oc1cccc(O)c1,gdb_4376,4376.xyz,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",-65.7,-66.14740337,-66.63807678
Cc1ccc(C)cc1,gdb_4563,4563.xyz,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",4.298119821,-0.322861034,-0.43976596
Cc1ccc(O)cc1,gdb_4565,4565.xyz,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",-29.97052263,-32.99866789,-33.23387909
Oc1ccc(O)cc1,gdb_4591,4591.xyz,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",-63.1222116,-64.59349507,-64.98657227
Cc1ccccc1C,gdb_4958,4958.xyz,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",4.6,0.014945119,0.167201161
Cc1ccccc1O,gdb_4960,4960.xyz,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",-30.7,-33.26891282,-33.39825439
N#Cc1ccccc1,gdb_5347,5347.xyz,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,51.5,47.62131735,47.84327316
CCc1ccccc1,gdb_5379,5379.xyz,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",7.137507967,2.942598439,2.862535477
COc1ccccc1,gdb_5398,5398.xyz,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",-16.23645634,-23.20228948,-22.93655205
OCc1ccccc1,gdb_5408,5408.xyz,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",-23.99617591,-23.31489153,-23.74822235
CC(C)CC(C)(C)C,gdb_5806,5806.xyz,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",-53.5484385,-55.77022491,-55.90986252
CC(C)(C)C(C)(C)C,gdb_5811,5811.xyz,"InChI=1S/C8H18/c1-7(2,3)8(4,5)6/h1-6H3",-53.97466539,-52.82005118,-53.27402496
CCCCC(C)(C)C,gdb_5889,5889.xyz,"InChI=1S/C8H18/c1-5-6-7-8(2,3)4/h5-7H2,1-4H3",-53.68228171,-57.93218429,-58.10363388
CCCC(C)(C)CC,gdb_5989,5989.xyz,"InChI=1S/C8H18/c1-5-7-8(3,4)6-2/h5-7H2,1-4H3",-52.58285532,-55.65762286,-55.58494568
CCC(C)(C)C(C)C,gdb_6051,6051.xyz,"InChI=1S/C8H18/c1-6-8(4,5)7(2)3/h7H,6H2,1-5H3",-51.70809433,-52.95517364,-53.42443848
CC(C)CCC(C)C,gdb_6104,6104.xyz,"InChI=1S/C8H18/c1-7(2)5-6-8(3)4/h7-8H,5-6H2,1-4H3",-53.18913321,-57.81958224,-58.27138901
CC[C@@H](C)CC(C)C,gdb_6414,6414.xyz,"InChI=1S/C8H18/c1-5-8(4)6-7(2)3/h7-8H,5-6H2,1-4H3/t8-/m1/s1",-52.40678776,-56.8512046,-56.92990112
CCCCOC(=O)C,gdb_6771,6771.xyz,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",-116.0372849,-124.0658537,-124.3991241
CCCCCC(C)C,gdb_6799,6799.xyz,"InChI=1S/C8H18/c1-4-5-6-7-8(2)3/h8H,4-7H2,1-3H3",-51.48024219,-58.04478634,-58.17759323
CC1(C)CCCCC1,gdb_6857,6857.xyz,"InChI=1S/C8H16/c1-8(2)6-4-3-5-7-8/h3-7H2,1-2H3",-43.24410453,-43.55800399,-43.5813942
CCCC(C)CCC,gdb_7192,7192.xyz,"InChI=1S/C8H18/c1-4-6-8(3)7-5-2/h8H,4-7H2,1-3H3",-50.7,-56.80616378,-56.94844437
CCC[C@@H](C)C(C)C,gdb_7390,7390.xyz,"InChI=1S/C8H18/c1-5-6-8(4)7(2)3/h7-8H,5-6H2,1-4H3/t8-/m1/s1",-51.1,-55.27477589,-55.56377792
CC(C)C(=O)C(C)C,gdb_7433,7433.xyz,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",-74.41045252,-78.62097433,-78.52194977
CC(C)C(C)C(C)C,gdb_7455,7455.xyz,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",-52,-54.12623497,-54.55463028
C[C@H]1CCC[C@@H](C)C1,gdb_7822,7822.xyz,"InChI=1S/C8H16/c1-7-4-3-5-8(2)6-7/h7-8H,3-6H2,1-2H3/t7-,8+",-44.13400255,-45.83256541,-45.92914581
CCC(C)(CC)CC,gdb_8708,8708.xyz,"InChI=1S/C8H18/c1-5-8(4,6-2)7-3/h5-7H2,1-4H3",-51.35197578,-53.78842882,-53.83466339
CC[C@@H](C)[C@@H](C)CC,gdb_8946,8946.xyz,"InChI=1S/C8H18/c1-5-7(3)8(4)6-2/h7-8H,5-6H2,1-4H3/t7-,8+",-50.87715105,-53.69834718,-54
CCCC[C@@H](C)CC,gdb_9419,9419.xyz,"InChI=1S/C8H18/c1-4-6-7-8(3)5-2/h8H,4-7H2,1-3H3/t8-/m0/s1",-50.79907584,-56.96380665,-57.12609482
CCCC(CC)CC,gdb_10224,10224.xyz,"InChI=1S/C8H18/c1-4-7-8(5-2)6-3/h8H,4-7H2,1-3H3",-50.4,-55.54502081,-55.75094986
CCC(CC)C(C)C,gdb_10356,10356.xyz,"InChI=1S/C8H18/c1-5-8(6-2)7(3)4/h7-8H,5-6H2,1-4H3",-50.44694073,-53.27045939,-53.41654205
C[C@H]1CC[C@@H](C)CC1,gdb_10859,10859.xyz,"InChI=1S/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3/t7-,8+",-42.21239643,-43.55800399,-43.81821823
C[C@H]1CCCC[C@H]1C,gdb_12410,12410.xyz,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",-41.1,-42.31938143,-42.69685745
O=C1CCCCCN1,gdb_12482,12482.xyz,"InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)",-58.8,-63.67535544,-63.72046661
CCCC1CCCC1,gdb_13403,13403.xyz,"InChI=1S/C8H16/c1-2-5-8-6-3-4-7-8/h8H,2-7H2,1H3",-35.3306246,-38.4909117,-38.57055664
N#CCCCCC#N,gdb_14579,14579.xyz,InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,35.7,34.33038644,34.40779495
CCCCCCC=O,gdb_14768,14768.xyz,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",-63.06644359,-70.46858585,-70.71881104
CCCCCCCC,gdb_14788,14788.xyz,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-49.9,-58.08982716,-58.32239532
CCCCCCCO,gdb_14789,14789.xyz,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-80.2860102,-85.06797025,-85.35666656
CCC1CCCCC1,gdb_14995,14995.xyz,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",-41.02533461,-43.53548358,-43.66960526
